state,district,village,latitude,longitude,year,season,crop,area_hectares,soil_type,soil_ph,soil_moisture_percent,annual_rainfall_mm,avg_temperature_c,climate_risk,drought_occurrence,flood_occurrence,irrigation_type,input_cost_inr,yield_kg_per_hectare,market_price_inr_per_kg,roi_percent,success_rating,farmer_feedback
Maharashtra,Pune,Khadki,18.5626,73.8087,2023,Kharif,Rice,2.5,Black,7.2,35,1200,28,Medium,No,No,Drip,45000,4200,25,18.5,4,Good monsoon helped with decent yield but input costs were high.
Maharashtra,Nashik,Sinnar,19.8462,73.9956,2023,Rabi,Wheat,3.2,Black,6.8,28,800,22,Low,No,No,Sprinkler,38000,3800,22,26.3,4,Excellent wheat harvest with good market prices this season.
Karnataka,Bangalore,Yelahanka,13.1007,77.5963,2023,Kharif,Cotton,4.1,Red,6.5,32,950,26,Medium,No,No,Flood,52000,1800,45,55.4,5,Cotton performed exceptionally well despite moderate rainfall challenges.
Telangana,Hyderabad,Secunderabad,17.4399,78.4983,2023,Kharif,Cotton,3.8,Black,7.1,38,1100,29,Medium,No,No,Drip,48000,2100,42,84.3,5,Very satisfied with cotton yield and market demand was strong.
Punjab,Ludhiana,Pakhowal,30.9010,75.8573,2023,Rabi,Wheat,5.2,Alluvial,7.4,42,600,18,Low,No,No,Canal,42000,5200,20,48.1,5,Excellent wheat crop with canal irrigation supporting high yields.
Tamil Nadu,Chennai,Tambaram,12.9249,80.1000,2023,Kharif,Rice,2.8,Alluvial,6.9,40,1400,30,High,No,Yes,Canal,41000,4800,24,79.0,4,Flooding affected some areas but overall rice production was good.
Maharashtra,Aurangabad,Paithan,19.4809,75.3831,2023,Kharif,Sugarcane,1.5,Black,7.0,45,1300,31,Medium,No,No,Drip,85000,65000,4.2,22.4,4,Sugarcane requires heavy investment but gives steady returns over time.
Karnataka,Mysore,Mandya,12.5211,76.8950,2023,Kharif,Maize,3.5,Red,6.3,29,850,25,Medium,Yes,No,Sprinkler,32000,3200,18,80.0,4,Drought conditions reduced maize yield but prices compensated well.
Telangana,Warangal,Kazipet,17.9784,79.4561,2023,Kharif,Soybean,4.2,Black,6.7,33,1050,27,Medium,No,No,Rainfed,28000,2800,35,50.0,4,Soybean cultivation was profitable with good monsoon support this year.
Punjab,Amritsar,Tarn Taran,31.4515,74.9255,2023,Rabi,Wheat,6.1,Alluvial,7.6,38,550,16,Low,No,No,Canal,45000,5800,19,45.1,5,Canal irrigation ensured excellent wheat production despite low rainfall.
Tamil Nadu,Coimbatore,Pollachi,10.6581,77.0081,2023,Kharif,Cotton,3.9,Red,6.4,31,900,28,Medium,No,No,Drip,49000,1900,44,69.4,4,Cotton farming was challenging but drip irrigation helped maintain yields.
Maharashtra,Kolhapur,Ichalkaranji,16.6877,74.4608,2023,Kharif,Sugarcane,2.1,Black,7.3,43,1450,29,Low,No,No,Flood,92000,72000,4.0,13.0,3,Sugarcane investment is high and returns are moderate this season.
Karnataka,Hubli,Dharwad,15.4589,75.0078,2023,Rabi,Wheat,2.9,Black,6.9,26,700,21,Low,No,No,Sprinkler,36000,3600,21,10.0,3,Wheat yield was average but market prices were disappointing.
Telangana,Nizamabad,Bodhan,18.6644,77.8499,2023,Kharif,Rice,3.1,Alluvial,7.0,37,1250,28,Medium,No,No,Canal,43000,4400,23,35.8,4,Rice cultivation went well with adequate canal water supply.
Punjab,Patiala,Rajpura,30.4781,76.5937,2023,Kharif,Maize,4.8,Alluvial,7.2,35,650,24,Low,No,No,Sprinkler,35000,4200,17,4.0,3,Maize production was good but market prices were very low.
Tamil Nadu,Madurai,Usilampatti,9.9697,77.7859,2023,Kharif,Cotton,3.6,Red,6.2,28,800,32,High,Yes,No,Drip,51000,1600,46,44.7,4,Drought stress affected cotton but good prices helped profitability.
